PLAYER     INSERT     mihaiird14,2025-05-31 14:07:02
PLAYER     READ     mihaiird14,2025-05-31 14:07:11
OPTIUNI     INSERT     ,2025-05-31 14:07:16
OPTIUNI     INSERT     ,2025-05-31 14:07:18
RUNDA      INSERT:     tiprunda = RundaLevate,2025-05-31 14:07:18
RUNDA      READ:       tiprunda = RundaLevate,2025-05-31 14:07:18
RUNDA      UPDATE:     tiprunda = RundaCupe,2025-05-31 14:08:59
RUNDA      READ:       tiprunda = RundaCupe,2025-05-31 14:08:59
RUNDA      UPDATE:     tiprunda = RundaDame,2025-05-31 14:11:43
RUNDA      READ:       tiprunda = RundaDame,2025-05-31 14:11:43
RUNDA      UPDATE:     tiprunda = RundaPopa,2025-05-31 14:13:26
RUNDA      READ:       tiprunda = RundaPopa,2025-05-31 14:13:26
RUNDA      UPDATE:     tiprunda = RundaWhist,2025-05-31 14:14:02
RUNDA      READ:       tiprunda = RundaWhist,2025-05-31 14:14:02
RUNDA      UPDATE:     tiprunda = RundaTotale,2025-05-31 14:15:35
RUNDA      READ:       tiprunda = RundaTotale,2025-05-31 14:15:35
PLAYER     UPDATE,2025-05-31 14:17:03
RUNDA      DELETE,2025-05-31 14:17:03
PLAYER     READ     mihaiird14,2025-05-31 14:18:48
OPTIUNI     INSERT     ,2025-05-31 14:18:52
SCOREBOARD      DELETE,2025-05-31 14:18:52
SCOARBOARD     INSERT,2025-05-31 14:18:52
SCOAREBOARD      READ,2025-05-31 14:18:52
OPTIUNI     INSERT     ,2025-05-31 14:19:09
OPTIUNI     DELETE    mihaiird14,2025-05-31 14:19:09
PLAYER     DELETE     mihaiird14,2025-05-31 14:19:09
PLAYER     READ     mihaiird14,2025-05-31 14:23:35
OPTIUNI     INSERT     ,2025-05-31 14:23:37
SCOREBOARD      DELETE,2025-05-31 14:23:37
SCOARBOARD     INSERT,2025-05-31 14:23:37
SCOAREBOARD      READ,2025-05-31 14:23:37
